Ticker,Description,Total Shares Outstanding,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Total Revenue (FY),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Profit (FY),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),EBITDA (TTM),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Income (FY),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Total Debt (MRQ),Market Capitalization,Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Sector
FG,"F&G Annuities & Life, Inc.",125591479,35.57582668,-40.02021223,2374000000,,,,,,,,27.84330244,,-49.24029126,4.1826,,-44.39306358,481000000,20.26116259,9.68085106,4.61971405,-0.12618297,13.7235116,1583000000,3946582637.820864,-3.54796321,73.64185111,145.40859309,3.91282813,3.55002742,3.37351565,1.02,,,,,Finance
FCCO,First Community Corporation,7593760,10.71774454,1.92150583,62378000,,,,,,,,29.5152137,-4.06181015,-6.2432881,1.9207,-3.92723072,-5.50921435,14613000,23.42652858,5.50642363,0.32177057,2.80434915,119.7962013,185604000,135282806.82071713,-120.50347797,-19.01639344,24.94629517,4.81927711,2.30217866,2.78527569,0.364,0.86309616,12.23132291,10.63665993,,Finance
CL,Colgate-Palmolive Company,826692000,1.09014675,3.13414844,17967000000,3.1792976,-1.38929369,10150000000,56.4924584,9.71322849,-7.02386312,4387000000,19.95324762,35.22167488,-16.65687542,2.128,34.94623656,-17.5900277,1785000000,9.93488061,4.59441489,0.33388982,0.92062423,18.35822801,8989000000,60418751882.0668,-5.94405594,-32.55982596,10.35231257,1.86747821,1.57522951,1.7758215,0.802567,9.37441293,2878.84615385,17.59623861,0.7335924,Consumer Non-Durables
ESMT,"EngageSmart, Inc.",167216167,6.75886557,40.52154614,303920000,8.03885164,46.74115088,222621000,73.24986839,28.58076564,95.53754787,43453000,5.41524085,4.9382716,,0.1217,5.18913676,,20593000,6.77579626,11.1300358,1.38135114,-2.14948065,,29863000,3538000477.240288,97.72370487,172.57118481,16.81955778,2.87104623,3.02682805,2.6764996,0.063023,2.29535805,2.51086811,2.4279634,7.14170367,Technology Services
FND,"Floor & Decor Holdings, Inc.",106443000,1.23407828,24.20072852,4264473000,1.70094095,20.59881755,1572693000,36.87895316,3.76014091,19.8163462,604385000,10.20998374,-0.18072289,5.23242587,2.7754,-0.10066551,5.2836917,298195000,6.99254046,16.63354951,3.23577289,-2.46109551,22.2976177,1628135000,9163642209.212343,-21.90977796,-223.66522774,-8.07016482,7.35945883,3.16424621,3.32400856,0.56849,6.64883196,17.4565573,9.20409216,0.14607551,Retail Trade
TNGX,"Tango Therapeutics, Inc.",101738000,153.17377732,-32.88699314,24860000,203.85329619,-40.60896339,20832000,83.79726468,24.59067573,-90.38666762,-108385000,-446.78600161,26.19647355,-31.37798635,-1.2318,26.0568409,-85.75770585,-108176000,-435.14078842,-9.72738451,-6.05414428,-3.58688033,2636.59347971,39889000,742690658.6388888,33.47959385,-96.47749511,-476.55671762,11.69757489,13.8973175,23.9797344,-0.337,-25.81237534,-41.75831478,-38.86555424,5.97660023,Health Technology
OTRK,"Ontrak, Inc.",4916890,17.04230921,-82.74874306,14514000,-119.70329161,-86.67208375,7053000,48.59446052,48.53496315,-158.59885621,-24088000,-297.52652611,18.55916453,-5.28878906,-15.6098,19.08982036,-38.84611243,-51573000,-355.33278214,-72.5059243,-8.99943653,20.04134265,-69.79092138,12195000,3564251.49405678,-6.76954733,18.23907667,-170.82816591,3.55699492,12.02059126,14.76059323,-2.472922,-128.49373621,-360.95275283,-186.41324897,1.40225757,Commercial Services
YUM,"Yum! Brands, Inc.",280211000,2.55319149,3.91859052,6842000000,5.05548705,4.45356917,3307000000,48.33382052,7.78985507,1.68393782,2393000000,31.55510085,38.8466654,-12.3907041,4.569,39.33333333,-15.87301587,1325000000,19.36568255,-2.01139792,1.72203862,-1.43303178,4.40339738,12312000000,33925179538.6368,-6.271777,-22.22222222,16.77871967,1.85470694,1.65576068,1.68709152,1.277451,24.40281835,,39.26448223,1.01882986,Consumer Services
CHMG,Chemung Financial Corp,4719820,5.71283645,11.37644247,102982000,,,,,,,,35.82082306,-13.76063381,8.69072092,6.1332,-13.6176066,8.92336802,28783000,27.94954458,9.38930524,0.77198897,-39.67520425,314.05136638,60177000,192898867.6346726,-25.4669093,-0.2614531,33.33883591,1.36307311,1.29846355,1.03388083,1.133333,1.07099425,15.58690886,14.80881881,,Finance
VBIV,"VBI Vaccines, Inc.",22872200,48.45360825,71.47385103,1082000.00000174,8.09706258,-2.34675129,-12255000.0000197,-1132.62476895,13.55796015,-20.48733326,-76756000,-7561.92236599,-60.80712203,-60.35087719,-13.1616,-60.81582646,-62.43459063,-113303000.000182,-10471.62661738,-26.24645704,-31.24605912,0.34943003,64.25022015,52554000,12751238.32272727,12.69129758,-87.80947716,-7087.98521256,11.11111111,11.63551264,10.42980588,-0.14,-91.16065156,-207.75705187,-126.61928046,0.90445906,Health Technology
SNES,"SenesTech, Inc.",3279490,30.90128755,69.83333333,1019000,94.64285714,,281000,27.57605496,2.09059233,-9.96408296,-8675000,-949.36211973,47.38670695,-4.92047377,-15.502,2.16003927,-17.25931301,-9695000,-951.42296369,-41.03121468,-16.83530678,-14.24050633,-35.31531532,271000,1246532.3752,12.59920635,-11.06739434,-858.78312071,8.10810811,18.60183808,17.93972204,-0.85,-159.26360437,-210.32058158,-197.91409667,2.69674711,Process Industries
HYMC,Hycroft Mining Holding Corporation,201954000,,-69.99205303,33229000,0.77433628,60.82396439,-20768000,-62.49962382,-11.21460156,31.19724352,-53422000,-160.97384814,0.28818444,75.68539631,-0.3583,0.14379179,31.31746534,-60828000,-183.05696831,74.92060369,-5.32602227,1.78230936,-15.94467235,139855000,60586204.05405406,-54.81351084,18.67447988,-107.75527401,6.61840745,7.59260363,7.91893716,-0.06,-22.80951928,-91.0354204,-28.4931073,17.63602573,Non-Energy Minerals
CAMP,CalAmp Corp.,37903600,-12.94522577,-0.30083931,294949000,-17.89155927,-11.43467304,103679000,35.15150077,-19.99002991,-65.2446932,14345000,-6.81439842,-3.72388738,1.23022847,-0.8992,-4.78670635,-1.23387549,-32490000.00000001,-11.01546369,-2.92685294,-2.23407856,-0.37238684,16.39953311,243192000,9699539.34772277,,-94.290934,-11.53826594,9.66693745,19.65158435,13.52339542,0.015,-5.73639783,-130.18774704,-8.29371067,1.42600269,Electronic Technology
HLIT,Harmonic Inc.,111915000,-1.06946444,23.22946511,624957000,1.0577113,23.01100057,304157000,48.66846839,-8.89946127,89.45088037,62878000,7.90342376,-69.90740741,100.96153846,0.2508,-69.46789711,112.63014939,28182000,4.50943025,2.35437936,-1.91286062,-1.15239519,-15.47273568,157999000,1180703000.6916428,-557.5780655,-113.45838385,-0.60388155,4.92125984,4.10765804,7.03556151,0.005,3.09890979,6.72850382,5.23437186,0.75751593,Electronic Technology
KVUE,Kenvue Inc.,1914894444,4.18073228,-0.75782756,14929000000,5.15610218,-2.0285411,8307000000,55.64337866,10.32482599,-11.36004217,,18.21287427,28.56325129,2.75297619,1.1048,30.3030303,2.75726243,2087000000,13.97950298,-2.19485123,-22.62396404,10.39394328,-55.03875969,8603000000,38384062211.39713,-10.9772423,5412.82051282,14.40150044,1.98070086,2.56855281,2.7407508,0.312078,,,,0.79128137,Consumer Non-Durables
DEN,Denbury Inc.,51446800,-3.42337728,37.12956765,1704345000,-13.63519232,61.05983148,957425000,56.17553958,-10.32069886,54.96165677,652785000,43.6380545,-24.89904165,748.91408803,8.8338,-24.57202435,757.39795007,480160000,28.17269978,22.44036885,4.50465305,21.90552626,-13.49985028,106326000,4866868304.537761,,38.66813876,7.00075396,1.78209369,2.05047786,1.64154512,1.463237,20.59774386,32.47012288,31.24111047,0.71001193,Energy Minerals
HESM,Hess Midstream LP,68358500,6.2295082,5.93121781,1275200000,4.51050743,8.58781171,814300000,63.85664994,3.81194409,8.92697133,973500000,62.04516939,6.51896037,12.25213249,2.0266,21.25603865,80.81896552,83900000,6.5793601,2.94353913,2.26910717,2.62867463,12.56485274,3068700000,7261729750.485372,20.23809524,-1.48663609,48.84723965,1.97795071,2.06912795,1.5195971,0.577607,2.5019288,32.97022513,2.77277308,0.76680108,Energy Minerals
ARC,"ARC Document Solutions, Inc.",43234200,4.9798311,5.07038735,286010000,9.82805272,9.10911977,102400000,35.80294395,30.03088326,-2.27793877,38162000,6.41795741,107.9006772,19.76635514,0.2563,107.11340206,21.33872908,11094000,3.87888535,-4.73347909,-0.88180341,-3.63180204,-12.10895504,95259000,131864343.43853822,415.4875717,-2.71562025,10.95975665,1.98675497,3.64453029,3.75647173,0.08,3.85926642,7.65965169,5.03874564,1.45881156,Commercial Services
TFFP,"TFF Pharmaceuticals, Inc.",59133600,,,0,-0.29309799,-248.32709752,-388221,,25.46039032,-1.37910676,-26976160,,28.79876797,15.25789684,-1.0597,28.80520898,-2.35625112,-31770062,,-40.7333849,-25.4912188,-10.79590137,,154266,20371517.09411765,-2.92479301,5.19071515,,8.83325402,11.2298066,10.37121463,-0.115,-128.82204711,-147.53269201,-146.6479993,7.74982777,Health Technology
WEA,Western Asset Bond Fund Share of Beneficial Interest,11863000,,-91.93994045,1091592,,-101.74463924,-211217,-19.34944558,,-813.19695348,9982200,-2343.61034159,,-991.00426522,-2.2979,,-991.08146178,-27265667,-2497.7891923,-16.12547824,,,-2.2212973,48985800,115783000,,-37.15330519,651.17736297,2.27038184,1.75004774,1.52900665,,3.68905949,5.36518955,3.85377537,,Miscellaneous
PXD,Pioneer Natural Resources Company,233309000,-0.80487274,36.45215445,24384000000,-13.70328426,56.1732007,10676000000,43.7828084,-9.14893617,42.41352636,10329000000,42.41305774,-9.008,260.99282547,31.0952,-9.76210008,270.56318031,7830000000,32.11122047,-6.18019552,-1.70317649,-9.35217529,-26.40714742,5709000000,59526427712.90152,-60.9403255,158.75486381,29.99917979,1.86359684,2.3196335,1.84323063,5.494242,15.86922179,25.22821577,20.68730861,0.59206002,Energy Minerals
CURV,Torrid Holdings Inc.,104071000,-1.60283678,-0.70355384,1288144000,-6.99093413,-14.49562281,459539000,35.67450533,-12.87065832,46.18136319,148354000,7.98241501,-43.96475771,,0.4805,-43.86009485,,50209000,3.89777851,-8.85685591,-4.48085481,-5.52819328,-8.04426678,507153000,242486506.8652174,103.42619276,-52.46533781,5.65573414,11.26893939,17.64578171,11.95659055,-0.045986,4.16994778,,8.66754782,0.19862339,Retail Trade
PROV,"Provident Financial Holdings, Inc.",7007780,8.16845023,26.92541703,50067000,,,,,,,,24.79876965,-21.34727776,-2.12992545,1.1947,-22.16960827,-5.50973276,8592000,17.16100425,12.37738947,0.2662363,14.57320902,172.62465804,237178000,87457087.71428572,,34.02132783,31.12629077,3.16872428,2.28643716,2.54251107,0.28,0.67915338,6.65177656,4.34156472,,Finance
XOM,Exxon Mobil Corporation,3962920000,-3.04844987,42.75355602,400438000000,-15.38760024,53.08866602,103491000000,25.84445033,-22.28081001,84.96776593,76974000000,16.35134528,-30.44788975,145.95231469,13.2556,-31.05861767,141.92708333,55740000000,13.91975787,8.89405558,-1.65768293,0.1206389,-11.52388316,41496000000,447076588194.5219,-63.18052887,61.95600921,14.58153322,1.7905103,2.05720825,1.74083428,2.362535,14.15005294,27.48417747,22.81202792,1.09214592,Energy Minerals
BGSF,"BGSF, Inc.",10853600,7.28132137,24.84849286,298421828,10.41674991,28.80747863,99494212,33.34012551,95.68868981,28.14563875,22061800,5.52337244,,-45.81764489,0.7339,,-45.52719101,7685829,3.77358288,31.03352594,6.14204013,3.62379375,62.5221006,71946000,100775850.15703379,,-470.06547094,-4.29010173,1.24324324,2.58980535,2.05452379,0.3,-4.89474451,-8.77181275,-5.91742899,2.42095537,Commercial Services
IVDA,"Iveda Solutions, Inc.",16012600,8.46209171,132.98400082,4468279,-42.23029063,15.76992628,963501,21.56313426,-49.8525452,-22.48240355,-2974700,-74.51009662,-33.8028169,22.36135957,-0.2604,-37.63836565,-11.55942486,-3345270,-74.8670797,230.12979502,1.78577979,-28.41976782,-19.0948563,289119,12249203.69438518,,-171.60487026,-121.36417623,4.66742855,7.06635049,5.23499627,-0.04,-32.76692062,-48.23785829,-47.22447447,3.40928331,Electronic Technology
STRC,Sarcos Technology and Robotics Corporation,25800000,-44.3815331,187.07389163,14569000,-56.9579288,-36.17549669,771000,5.29205848,-7.7014218,-28.27367636,-95303000,-733.07708147,-699.57295374,-80.80822304,-6.4205,-33.45129447,-92.77862296,-157130000,-1078.52289107,-28.91914699,-18.3917219,-1.48816408,189571.42857143,12776000,18550198.98746656,1.88090829,-42.95270458,-459.11867664,7.1,11.17779262,6.25779343,-0.59,-85.75840448,-95.53060007,-92.38938351,8.41895519,Producer Manufacturing
OCC,Optical Cable Corporation,7893680,-13.65046554,16.81364916,69079263,-24.61957179,26.06994037,20459346,29.61720365,-73.08469974,,4695150,0.7232431,-95.84415584,-105.29155188,-0.0461,-95.83989349,-105.25058861,-347091,-0.50245325,6.96602775,-0.91748531,-6.59100192,21.09345678,12367172,20780114.625,,-195.74386267,-2.70319908,4.65116279,4.82842869,5.07187288,,10.69711971,19.35958689,13.913581,0.97815183,Electronic Technology
ANTX,"AN2 Therapeutics, Inc.",21928452,,,0,-10.52631579,,-77000,,-3.49563046,-95.53629369,-56806000,,-2.55566802,-47.24819663,-2.2046,-3.13907198,-90.11279766,-40956000,,57.02125054,8.60963506,-61.76470588,,13000,437275706.40990376,-10.58996286,-62.98086311,,3.29824561,8.5253738,6.47174646,-0.6475,-49.60948562,-53.340667,-53.340667,8.79903234,Health Technology
HCTI,"Healthcare Triangle, Inc.",4277863,-13.33604391,30.1002046,45886000,59.24895688,-12.96457493,7920000,17.2601665,66.0385439,-78.84535287,-8318000,-22.69973412,46.06052867,-29.36347,-2.6156,45.51555827,-61.5117907,-9610000,-20.94320708,-15.64043004,-14.8038176,19.89813243,1.13271153,3531000,17496459.14356436,24.01991288,60.20108355,-6.39410714,6.08867795,5.36960645,4.92700577,-0.3,-63.79072731,-110.71896015,-110.71896015,0.93678756,Technology Services
JSPR,"Jasper Therapeutics, Inc.",110800000,,,0,-1.07238606,-131.44876325,-1310000,,-28.55458966,-38.43209678,-56754000,,9.02348578,61.58280338,-1.033,-12.76297335,-23.0048634,-37685000,,-47.94045352,-10.51262279,-6.12481858,26.55112652,3234000,89737146.32045875,-28.72476613,-27.38614577,,12.80769231,11.62455928,12.03893901,-0.1552,-56.97043221,-65.58413123,-63.49828403,13.21522514,Health Technology
SEVN,Seven Hills Realty Trust,14744800,-0.14083681,56.80958916,55992000,-2.74696594,60.08537887,49500000,88.4054865,-6.23537509,63.20517427,53005000,81.11873125,-40.62205467,-13.43208291,1.8877,-40.52481903,11.34685598,27447000,49.01950279,24.47595222,2.99236663,4.45446889,38.83495717,452690000,161455856,-23.53656682,1509.97474747,22.77289613,2.18579235,3.07907792,1.95754234,0.365,3.33608581,9.0472342,3.83578159,,Finance
MRBK,Meridian Corporation,11177800,15.0727263,-44.7550148,134400000,,,,,,,,20.77380952,19.10144928,-37.61074294,1.7887,15.51852773,-38.65673739,21829000,16.24181548,20.314582,-1.02727485,-14.30259444,109.31437228,234984000,110212618.03696097,,95.39211426,-1.81473214,2.01864479,2.41724522,1.53792466,0.376667,0.93701908,12.2696735,9.23284526,,Finance
APA,APA Corporation,307265000,-10.55776892,38.69755792,11075000000,-19.77573904,78.27017115,5833000000,52.66817156,-13.42335187,55.77193806,5473000000,45.88713318,58.97369778,325.21293406,11.033,57.43801653,277.5950668,3674000000,33.1738149,-1.17266782,0.23461742,-4.42686416,-25.87295452,5678000000,13197049513.059158,,31.59882501,28.31602709,2.2566027,3.08357372,2.82190142,1.156225,11.37266891,230.16241299,24.74432527,0.8026616,Energy Minerals
VFC,V.F. Corporation,388868000,-23.56733144,-2.1054792,11619318000,-14.13610178,-8.03257627,5987884000,51.53386799,-42.16956475,-30.20006814,1580943000,8.76256248,73.2936078,-91.36204165,0.3053,73.27727417,-91.44996074,118584000,1.02057625,4.85886594,0.38175938,-3.50163103,19.89403221,7865556000,7262117823.463415,-24.67855293,-234.42450064,-7.13050456,3.3021464,4.42478951,7.29589893,0.6602,0.85941077,3.85941868,1.27149652,0.63581222,Consumer Non-Durables
JAGX,"Jaguar Health, Inc.",19117200,35.69979716,175.80161476,11956000,45.35315985,281.86813187,7645000,63.94279023,19.50720895,17.38124019,-31768000,-287.84710606,71.14321608,58.9890506,-36.1815,0.42615965,9.77469341,-47454000,-396.9053195,-10.91335774,-8.35280271,-7.67458813,18.62761791,31663000,6522797.62800356,8.93916541,5.13209058,-277.5259284,12.83870968,16.79858932,39.20477041,-1.23,-87.11406371,-1064.36011014,-178.09338755,0.68830811,Health Technology
NBSE,"NeuBase Therapeutics, Inc.",2362380,,,0,-1.16549574,-119.36853738,-1262512,,12.26624217,-23.33942415,-22660900,,16.54782395,-11.72867367,-20.7936,15.79040207,-32.92947335,-33776450,,-49.04993709,4.07621765,-2.59587699,-8.35082875,5474176,1769420.39324324,-5.34968732,-42.50954789,,4.56756757,10.64502907,6.53124544,-0.97,-66.52624104,-95.7856152,-78.83647569,2.53420357,Health Technology
NGL,NGL ENERGY PARTNERS LP,131926999.99999999,-21.12079358,9.39855295,8694904000,-26.54295628,3.93690945,798276000,9.18096393,-30.77479962,-3.01302759,624509000,4.74683792,78.6381323,74.85380117,-0.559,,,51459000,0.59182942,-10.11805754,-2.758175,-1.59685686,-14.89708632,2903307000,550136982.6990291,-90.28403236,360.62423654,3.38275155,3.6407767,2.86018933,3.05557808,-0.01,0.82935322,3.54790866,1.06129831,1.01049582,Industrial Services
COR,"Cencora, Inc.",200854000,5.4995142,11.49506799,238587006000,-8.87123316,21.23655065,7600636999.99999,3.18568774,-13.53362406,8.47231118,3346090000,1.1533214,10.08632014,8.88452687,8.0433,10.14671499,10.31785819,1698820000,0.71203375,-1.35545649,4.1027218,1.78200624,-26.93762843,5020714000,38106021000.44108,21.64609022,-0.96927394,0.92493302,1.37989824,1.71201196,1.35998591,2.8044,2.85501176,371.18168726,34.79737652,0.48557362,Distribution Services
VHC,VirnetX Holding Corp,71639900,0,37.14285714,48000,-100,-99.50625411,45000,93.75,-104.92135972,55.11694122,-31432000,-45991.66666667,-154.72,15.73275862,-0.5083,-154.73472129,15.51920971,-36260000,-75541.66666667,-17.98290763,-55.36476414,,,0,18619211.71028038,-333.60383622,67.34579475,-35193.75,7.54105691,11.38246479,12.92275667,,-35.91462896,-36.14425428,-36.14425428,82.05781058,Technology Services
SOTK,Sono-Tek Corporation,15743500,56.51093056,-12.10845803,15058203,57.58032716,-11.15287057,7652007,50.81620297,1527.62101399,-48.64809064,1154050,4.53567401,908.82352941,-75.23048556,0.0403,913.50597311,-74.98970531,635905,4.22298066,14.46301712,3.5650897,,,0,79662027.01599999,-73.22004447,-61.3913122,5.10798002,1.18577075,3.75156055,4.74402603,0.02,3.77249467,5.14643395,5.14643395,2.19594646,Producer Manufacturing
IPAR,"Inter Parfums, Inc.",31975700,-0.79525733,23.55124864,1086653000,-7.17048439,24.69375222,694422000,63.90466874,-36.72141081,31.99761976,261673999.99999997,18.59397618,-35.35954321,37.69166333,3.7806,-35.35547829,38.35558454,120938000,11.12940377,14.33211213,-2.06795218,-8.37831474,13.923074,202330000,4079008222.882674,,,7.93160282,3.14446702,3.47951575,3.5844463,1.31275,11.98329663,23.75447793,19.03432903,1.35633089,Consumer Non-Durables
REBN,"Reborn Coffee, Inc.",13212723,35.33766186,42.12371364,3240523,30.70573491,52.9704934,1912792,59.02726196,-25.03181301,-39.38668386,-3940100,-109.2583512,-23.35858586,-8340.625,-0.2701,-34.17240221,-3.32798415,-3554897,-109.70133525,77.54780122,47.67395278,105.49845392,13.40811694,9095415,5615403.57142857,-113.98208194,-21.65416569,-122.77616916,7.5,13.15337013,14.28776998,,-51.77530506,-391.90156372,-70.31957533,0.58771973,Consumer Services
OXY,Occidental Petroleum Corporation,884682000,-7.24922731,39.63870272,36253000000,-22.49710089,124.19779064,17048000000,47.02507379,-8.45641471,53.24322283,16175000000,36.64248476,-37.42637516,686.44261256,12.4022,-31.90135243,471.84256055,13221000000,36.46870604,-4.73666102,-0.56005587,-1.81027224,-31.66710544,20991000000,58663254686.26568,1.06458481,62.78424114,33.96408573,2.16035296,2.41017293,1.71169249,0.873258,9.29858341,23.74738765,13.58749171,0.72867489,Energy Minerals
HNNA,"Hennessy Advisors, Inc.",7578650,-3.63421231,-9.44139194,29667000,-3.54314298,-6.12682611,23197000,78.19125628,-12.56067961,-9.59409594,6843000,33.16142515,-6.56050955,-23.20675105,0.819,-6.61087866,-21.66540116,6190000,20.8649341,40.74458095,0.99458643,-0.04306196,3831.94029851,39461000,50154002.11275229,36.2745098,-16.65186939,28.47945529,2.9441404,2.80015035,3.6933599,,3.35044356,5.54081797,3.8177888,,Finance
MEG,"Montrose Environmental Group, Inc.",30154800,21.05563502,-0.36547447,544416000,26.16462793,9.41353951,145055000,26.64414712,216.2412993,-60.81096533,28691000,-5.3909143,40.47279073,-4.02869404,-1.6242,51.26027583,-25.64264561,-31819000,-5.84461147,-4.0972126,5.42508271,9.5643889,-1.77527446,226543000,846748027.6151351,479.61007311,-49.32194617,3.5968818,4.5638572,4.50914067,6.74521444,-0.21,-4.76320931,-8.23058049,-5.8377227,1.61016133,Commercial Services
SMLP,"Summit Midstream Partners, LP",10376200,-12.98322652,-7.74403547,369594000,-18.66575608,-28.57689701,89561000,24.23226568,-9.14600325,-15.65332023,173943000,15.64365222,-5.33010297,-93.40791476,-12.7069,4.39878557,-413.74504988,-102487000,-27.72961682,1.4867221,-1.27691338,0.73910015,10.54181269,1488256000,185422499.71687433,-141.47998918,-51.25830841,18.47216134,5.35211268,5.69426246,5.31974587,0.25,-2.46119589,-6.70335981,-2.65056781,0.75236044,Utilities
VIEW,"View, Inc.",4041690,52.79049488,36.91677814,101328000,36.9951978,15.63952381,-101829000,-100.49443392,23.29016258,-1.3967152,-244866000,-327.48795989,-4853.79213483,20.80541671,-93.828,16.24188203,1.71701975,-337089000,-332.67112743,-8.8415559,-9.81713847,3.05433824,472.2265231,232572000,17379254.35294118,24.58389221,4.15918612,-271.84786041,11.27098321,11.92754203,11.8392478,-6.41,-59.24543926,-121.95898117,-79.29959596,1.84682368,Process Industries
IDYA,"IDEAYA Biosciences, Inc.",57559200,-55.02538071,82.28051967,50931000,-63.20809249,86.26029905,48830000,95.87481102,-25.24586279,-24.42782688,-81330000,-122.71897273,-1.57560876,-0.26211391,-1.4153,-18.13028765,-17.87106628,-58655000,-115.16561623,1.73647623,44.63681576,-15.14351699,-32.79289712,2572000,1540860657.110733,-23.16299086,-55.10672167,-177.92307239,2.97048678,4.66411453,6.90285257,-0.489142,-17.13379946,-19.23702541,-19.15792656,19.8045546,Health Technology
OCX,Oncocyte Corporation,8240930,55.89225589,-56.41492266,958000,77.33711048,-88.07899461,-5238000,-546.76409186,6.08484006,-20.65511779,,-3009.49895616,-5413.17752362,8.0725265,-13.253,-417.20593833,-13.73699237,-72902000,-1942.79749478,-37.2717986,5.72463768,-5.71428571,-37.57266162,3135000,25428206.02045902,29.36311001,-29.88652667,-5197.49478079,5.66666667,5.47055665,6.03372292,-1.008375,,,,2.73692448,Health Technology
PBBK,"PB Bankshares, Inc.",2752200,17.26571114,33.47126437,14515000,,,,,,,,12.56631071,46.26400996,168.13151042,0.8237,43.76528117,169.29936306,2114000,14.56424389,22.73772994,4.96277979,5.69799375,185.58239914,50419000,33411744.42,316.19047619,134.03483309,22.21839476,1.24792013,2.18396854,1.91010907,,0.62302137,5.51577657,2.97485135,,Finance
OMGA,"Omega Therapeutics, Inc.",55138700,47.09302326,1339.58333333,2073000,-34.00758534,-150.76427997,-3117000,-150.3617945,-18.39990208,-50.94129476,-107848000,-4957.35648818,-7.97115962,-50.1399972,-2.1449,-17.43739863,-50.41154071,-102701000,-4954.22093584,-37.42933918,46.51313054,433.37679856,13.64437063,118623000,95941330.91860464,13.53562662,-69.09574108,-4818.8615533,12.90322581,17.73617973,12.28292749,-0.528571,-52.8782092,-88.10870775,-59.65391524,3.71190872,Health Technology
BTT,BlackRock Municipal 2030 Target Term Trust,70505600,,-13.42734817,83816724,,-13.83363717,73448760,87.63019657,,,29788850,35.54046207,,99.26080529,-0.017,,99.25992679,-1199998,-1.4316928,-9.44517457,,,-16.14974871,819348013,1369220000,,-29.67074076,70.27286106,1.7019082,1.07979827,1.12340683,,-0.04589777,-0.07118845,-0.04644133,,Miscellaneous
ANGI,Angi Inc.,84264300,-4.41862658,12.22744474,1891524000,-1.14966069,5.98738825,1360753000,71.93950486,-47.58439363,-62.18119624,50954000,-5.15457377,4.29042904,-79.85915493,-0.2554,4.08482871,-79.95740985,-128449999.99999999,-6.79082052,-5.18346004,0.70479987,0.03854933,-2.37871059,495660000,885995753.7572254,357.17894394,-52.60289658,-3.80465699,3.55029586,5.72621,5.16499404,-0.027428,-5.14570763,-9.48212153,-6.46942166,1.68532801,Technology Services
KTCC,Key Tronic Corporation,10761900,-1.18077458,10.59014883,588135000,-2.6478005,1.24989354,47551000,8.0850485,-4.13902509,36.04714776,27355000,2.05752081,-46.89389775,54.48885976,0.4715,-46.25506073,52.70950548,5157000,0.8768395,2.94863309,-0.1989817,2.42653893,9.84481384,143264000,47352232.55172414,,-79.88054608,-3.58455117,2.5,3.52468777,3.36087504,,1.21435753,4.03686961,2.02543478,1.39266678,Electronic Technology
MUSA,Murphy USA Inc.,21453000,10.00945403,35.05428991,23446100000,16.21621622,48.8282703,1200300000,5.11940152,16.75749319,43.82850242,1074600000,4.12776539,25.39352045,88.32613883,28.096,24.92944497,69.53892668,672900000,2.86998691,1.9473356,2.07807341,0.18549598,1.31573079,2268400000,7953275992.067117,28.18181818,48.99502918,2.94036108,1.56708035,1.75226657,1.47481391,6.221429,13.68461045,76.15460852,19.28456699,0.50692996,Retail Trade
WTER,The Alkaline Water Company Inc.,10895800,19.47111152,16.44153315,63777289,476.1410332,23.97661722,11635875,18.24454313,68.20447854,44.6546409,-17198090,-34.54053056,63.31738437,50.06427272,-2.9912,62.26232784,30.76762388,-27405193,-42.97014412,-20.08983305,-15.6747302,-15.29060773,1.38632659,8262721,2887388.41603053,,54.08223629,-23.62334655,13.72626582,12.75008003,16.01812918,-150,-103.97688672,,,0.3370202,Consumer Non-Durables
CHD,"Church & Dwight Company, Inc.",246047000,1.70653238,3.57411225,5375600000,2.860044,-0.72788354,2127600000,39.57883771,0.73551044,-32.76419395,846900000,11.12061909,8.38090611,-49.31077127,1.6805,8.85826772,-49.98187311,413900000,7.69960563,4.36565998,2.95647546,-0.6024329,4.14792055,2573900000,22178675624.18425,-20.2337767,-19.26857143,13.14085869,1.92415259,1.75596983,1.87683852,0.685974,5.27017304,11.96988775,7.28327845,0.80317347,Consumer Non-Durables
